Concepto ,"""Definicion"""
Actitudes ,"""actitud favorable o desfavorable  hacia un partido político, donde la acción se manifiesta por  medio del voto el día de la elección."""
Ejemplo ,"""campaña antitabaquis- mo; usualmente en estos anuncios muestran los dos aspec- tos del argumento, son acompañados de miedo o temor:."""
Cuarto factor ,"""audiencia, ya que algunos estudios  indican que ciertas personas son más fáciles de persuadir  que otras, pero todavía no es claro por qué."""
Prueba ,"""predicción."""
Historiografía ,"""descripción de los hechos tal  cual ocurrieron:."""
Relación entre psicología teoría del conocimiento ,"""derivacio- nes de esta polémica impactaron de lleno en la psicología."""
Ejemplo ,"""función adaptativa de los ojos rasgados para haberse difun- dido en los pueblos asiáticos?"""
Referencia adoptada ,"""llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Hipocondría ,"""sensación o temor  de estar enfermo aun cuando no existe disfunción orgánica algu- na; y la depresión reactiva, caracterizada por desgano y pérdida de  interés generalizados; se dice que es reactiva porque aparece como  respuesta a un problema con el medio laboral, familiar o social."""
Relación psicología educación ,"""educación, que no es ni más ni menos que una  rama de la Psicología aplicada."""
Primer momento comienzos del siglo xx ,"""atención en caso de incumplimiento."""
Universalidad ,"""institucio- nes religiosas que evidencian los estudios sociológicos, revelan que la existencia misma de la religión posee una fuerte gravita- ción e influencia en la mente humana."""
Unidad de observación análisis ,"""organización y desarrollo de la subjetividad  individual (personalidad) o colectivo (cultura) y el modo  en que obra (cuida) la comunidad en el que vive mediante  sus desplazamientos y creaciones culturales."""
Referencia adoptada ,"""llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Referencia adoptada ,"""llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Primer momento comienzos del siglo xx ,"""atención en caso de incumplimiento."""
Ejemplo de disciplinas ,"""mayor parte de los temas que se analizan  escapan a tal posibilidad, si bien ello no significa que argu- menten en el vacío, pues utilizan evidencias documentales  para defender sus puntos de vista o teorías."""
Fragmentación ,"""psicología,  qué metodología(s) utilizar para estudiarla y cómo evaluar  los hallazgos de este campo de conocimiento."""
Sexuales ,"""fuer- za por la que el instinto sexual es representado en la mente  en la búsqueda del placer."""
Creador ,"""estructura de la mente."""
Hipocondría ,"""sensación o temor  de estar enfermo aun cuando no existe disfunción orgánica algu- na; y la depresión reactiva, caracterizada por desgano y pérdida de  interés generalizados; se dice que es reactiva porque aparece como  respuesta a un problema con el medio laboral, familiar o social."""
Recuerde ,"""personas con lesiones graves en la médula espinal tendrían que experimentar menos emociones y menos in- tensas, lo cual no es así (Cobos, Sánchez, Pérez y Vila, 2004)."""
Perspectiva lineal paradigma simplificador ,"""suma de las  partes, la parte es una unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Intenta ,"""temperatura para  el sentido del gusto."""
Unidad ,"""imagen, es una repre- sentación mental de un hecho u objeto."""
Inconsciente descubierto freud ,"""realización enmascarada de los deseos e im- pulsos reprimidos."""
Perspectiva lineal paradigma simplificador ,"""suma de las  partes, la parte es una unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Intenta ,"""temperatura para  el sentido del gusto."""
Unidad ,"""imagen, es una repre- sentación mental de un hecho u objeto."""
Unidad de observación análisis ,"""su- jeto, su forma de ser y convivir en la comunidad, el objeto     |  PS1COLOGÍA 1 de estudio es la organización y desarrollo de la subjetividad  individual (personalidad) o colectivo (cultura) y el modo  en que obra (cuida) la comunidad en el que vive mediante  sus desplazamientos y creaciones culturales."""
Referencia adoptada ,"""cuerpo (Descartes la llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Importante ,"""relato y la reflexión que se generen."""
Énfasis ,"""contenido."""
Psicología ,"""estudio  del alma, sino de la mente."""
Definición ,"""estudio del funcionamiento del Sistema Nervioso, pues si  bien es cierto que todo comportamiento tiene una contra- parte biológica, la razón de ser de la Psicología como ciencia  diferenciada e independiente de otras es justamente que no  necesariamente deba estudiar los fundamentos anatomo-fi- siológicos del comportamiento."""
Psicología ,"""estudio de  los procesos mentales (dominio de las hipótesis) y del com- portamiento (dominio de las observaciones)."""
Sujeto parado ,"""mástil, lo cual, según lo entendió un  observador agudo como Cristóbal Colón, era un argumento  favorable a la idea de que la tierra era curvada."""
Parte david hartley ,"""fundador del asocia- cionismo."""
Autoobservación ,"""intento filo- sófico tradicional con el que se analizan las experiencias de  vida mediante una reflexión introspectiva."""
Miento ,"""hombre para poder tener conocimien- tos?"""
Lugar ideal ,"""laboratorio,  ya que allí pueden ser controladas todas las variables inter- vinientes."""
Ducta ,"""conductismo cognoscitivo, dicho enfoque ha teni- do gran aceptación en los últimos años."""
Modo ,"""jilaqata o mallku (autoridad originaria  de la comunidad) y el qamani (persona que cuida el equilibrio  ecológico) o tumpiri (persona que cuida la comunidad)."""
Segunda metáfora ,"""“hombre-ordenador” o com- putadora promovida por la psicología cognitiva."""
Subjetividad ,"""origen, la fuente y  el escenario de recreación de la vida psíquica."""
Ética del cuidado ,"""principio que rige la  subjetividad de los sujetos y comunidades transmodernas."""
Contrario ,"""organismo humano, el  sujeto intercultural o tumpiri."""
Unidad de observación análisis ,"""su- jeto, su forma de ser y convivir en la comunidad, el objeto     |  PS1COLOGÍA 1 de estudio es la organización y desarrollo de la subjetividad  individual (personalidad) o colectivo (cultura) y el modo  en que obra (cuida) la comunidad en el que vive mediante  sus desplazamientos y creaciones culturales."""
Exageraciones ,"""órga- no más importante del hombre."""
Sistema nervioso ,"""centro de con- trol que regula todas las actividades del organismo, todos  los animales y seres humanos obtienen información de su  entorno mediante los receptores sensoriales y el cerebro  transforma dicha información en percepciones o en movi- miento (Alonso, Alonso, Belmori, 2004)."""
Señales ,"""éctrico-químicas se desplazan  por ellas en forma muy semejante a como lo hace una llama  a través de la mecha de un petardo."""
Cerebro ,"""órgano maestro del cuerpo hu-    |  PS1COLOGÍA 1 mano procesa la información, la interpreta y toma decisio- nes; recibe los mensajes enviados por los receptores, integra  la información con las experiencias pasadas, evalúa los datos  y realiza los planeas que guiarán sus acciones."""
Finos ,"""área  cerebral que entra en acción."""
Visión ,"""sentido mejor estudiado, lo cual denota que  le concedemos mucha importancia."""
Nidos ,"""ruido que produce  un avión de propulsión al despegar."""
Memoria ,"""medio por el cual se vale el organismo  para retener una información sensorial o interna de manera   PS1COLOGÍA 1  |   que pueda utilizarla, es decir, la capacidad de retener y loca- lizar los acontecimientos vividos con anterioridad."""
Procesamiento central ,"""almacenamiento  (en la memoria) y la clasificación u ordenación (por el pen- samiento) de esta información dentro del cerebro."""
Gracias ,"""aboradas (como ésta que  estás leyendo)."""
Unidad ,"""símbolo,  sonido o diseño que representa un objeto o cualidad."""
Lenguaje ,"""único capaz de representar lo  posible, lo plausible y lo falso."""
Hombre ,"""único ser que  puede mentir, engañar creando ficciones fantásticas sólo  concebibles y comprensibles para el ser humano."""
Largo ,"""así llamado “mito  de nacimiento” más aceptado), la psicología ha elegido el ca- mino de las ciencias naturales."""
Humanismo comportamental ,"""reconoci- miento, dentro de la sec, del papel que juegan los valores, las  metas y los objetivos."""
Nivel de explicación ,"""com- portamiento de los organismos."""
Psicología ,"""estudio  del alma ni el estudio de la mente."""
Maestros ,"""único que ha hecho  esa petición (bajo consenso)."""
Único maestro ,"""único maestro que te ha pedido hablar en privado, es probable  que haya algo acerca de esta persona particular (un motivo o  preocupación interna) que explica su conducta."""
Segundo término ,"""egi- do por los integrantes del grupo y toma en consideración  las opiniones para tomar decisiones."""
Mejor medio ,"""de cara a cara."""
Mayores exponentes ,"""filósofo alemán Martin  Heidegger, quien basa su Antropología filosófica (es decir su con- cepción del hombre) en tres características ontológicas, es decir,  constitutivas de la propia naturaleza humana:."""
Vida ,"""sueño de un idiota, con muchas pasiones,  colores y sonidos, sí, pero sin significado”."""
Pensador de origen psicoanalítico ,"""lo es lo que otorga fuerzas para soportar  el sufrimiento."""
Mitos ,"""de Prometeo."""
Piedra ,"""peso  de la piedra el problema, sino la falta de un sentido."""
Héroe ,"""PS1COLOGÍA 1 secreto del fuego, y por ello fue encadenado en una roca mientras un ave comía su hígado, el cual volvía a regenerarse eternamente (nuevamente la metáfora del dolor y la falta de sentido o absur- do)."""
Ejemplo ,"""beneficio principal para haberse difundido  la expresión de las emociones?"""
Sistema nervioso ,"""ectroquímicas, circuitos neuronales, etc."""
Referencia adoptada ,"""cuerpo (Descartes la llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Importante ,"""de actitud o predisposición (favora- ble o desfavorable) para aceptar una cierta idea o situación."""
Distintos ,"""efecto subjetivo que se trata de producir, así como formas de  interacción que se buscan fomentar o desalentar."""
Forma de interacción visual ,"""individuo que vigila tras sus ventanas ahuma- das entra fácilmente en contacto visual con los internos, al tiem- po que estos nunca saben si los están observando o no."""
Ducta ,"""conductismo cognoscitivo, dicho enfoque ha teni- do gran aceptación en los últimos años."""
Señales ,"""éctrico-químicas se desplazan  por ellas en forma muy semejante a como lo hace una llama  a través de la mecha de un petardo."""
Largo ,"""así llamado “mito  de nacimiento” más aceptado), la psicología ha elegido el ca- mino de las ciencias naturales."""
Referencia adoptada ,"""cuerpo (Descartes la llamaba r  es extensa o cosa que o culpa lugar en el espacio)."""
Forma de interacción visual ,"""individuo que vigila tras sus ventanas ahuma- das entra fácilmente en contacto visual con los internos, al tiem- po que estos nunca saben si los están observando o no."""
Vida ,"""sueño de un idiota, con muchas pasiones,  colores y sonidos, sí, pero sin significado”."""
Segundo término ,"""egi- do por los integrantes del grupo y toma en consideración  las opiniones para tomar decisiones."""
Humanismo comportamental ,"""reconoci- miento, dentro de la sec, del papel que juegan los valores, las  metas y los objetivos."""
Referencia adoptada ,"""ba r  es extensa o cosa que o culpa lugar en el espacio)."""
Primer momento comienzos del siglo xx ,"""rles la  atención en caso de incumplimiento."""
Ducta ,"""do conductismo radical, otro enfoque de esta es- cuela es el conductismo cognoscitivo, dicho enfoque ha teni- do gran aceptación en los últimos años."""
Señales ,"""través de la mecha de un petardo."""
Largo ,"""do “mito  de nacimiento” más aceptado), la psicología ha elegido el ca- mino de las ciencias naturales."""
Referencia adoptada ,"""ba r  es extensa o cosa que o culpa lugar en el espacio)."""
Forma de interacción visual ,"""das torres  panópticas, pues el individuo que vigila tras sus ventanas ahuma- das entra fácilmente en contacto visual con los internos, al tiem- po que estos nunca saben si los están observando o no."""
Llamados fenómenos cognitivos ,"""dos fenómenos cognitivos no son patrimonio  exclusivo de los seres humanos, también los poseen los ani- males y, por consiguiente, sería un error sostener que en  ellos no existen procesos cognitivos."""
Movimientos ,"""ría la “Psicología de la primera persona”."""
Importante ,"""da “madre de todas las ciencias”."""
Influencias ,"""mos Psicología propiamente dicha."""
Concepción dualista ,"""mos  ""psicológicos""."""
Búsqueda ,"""dos méto- dos psicofísicos y éstos permitieron la presentación ordena de  estímulos y la obtención de varias clases de respuesta del  siguiente tipo:."""
Condiciones ,"""mos al transcurso de estos hechos prácticas sociales."""
Alumno de weber tav fechner obsesionado ,"""la ""Psicofísica""."""
Torno ,"""da cibernética, o estudio de tales sistemas  de control de retroalimentación."""
Frederick winslow taylor con ,"""así por haber sido desarrollado por  Frederick Winslow Taylor con el objetivo de maximizar la  eficiencia de la mano de obra y de la maquinaria mediante la  división de tareas, la organización de la labor en secuencias y  el cronometraje para llevar a cabo tareas específicas."""
Miento del conductismo ,"""do ""introspección"", en el que se les pedía a las personas  que describieran qué era lo que estaban pensando."""
Ducta ,"""do conductismo radical, otro enfoque de esta es- cuela es el conductismo cognoscitivo, dicho enfoque ha teni- do gran aceptación en los últimos años."""
Proceso ,"""modelamiento."""
Freud ,"""da asociación libre, que consiste en que el paciente  diga con toda libertad y espontaneidad lo que se le ocurra a  propósito de cualquier cosa, especialmente de sus sueños y  actos fallidos, de esta manera, Freud confiaba que llegaría al  núcleo inconsciente del individuo, y a través de los procesos  inconscientes se podía llegar al origen de las neurosis, ya  que afirmaba que los sucesos e impulsos traumatizantes que  residían en el inconsciente eran de naturaleza sexual y que  una vida sexual normal no dejaba margen a las neurosis."""
1914 jung ,"""da psicología analítica o compleja."""
Jung ,"""das arquetipos, los cuáles hacen referencia a imágenes  primordiales evolucionadas de una ascendencia tribal pri- mitivas de experiencias y actitudes milenarias."""
Tableros de control ,"""das interneuronas) y las redes de células nervio- sas situadas en el cerebro y la médula espinal."""
Sistema nervioso ,"""das neuro- nas."""
Señales ,"""través de la mecha de un petardo."""
Sustancias químicas llamadas misores ,"""das neurotrans- misores, de la sinapsis (espacio vacío)."""
Puntas del axón ,"""dos terminales presinápticas)."""
Espacio ,"""sinap- sis."""
Estímulo ,"""estímulo a cualquier aspecto o cambio  del ambiente al cual responde un organismo."""
Sentidos ,"""do transducción."""
Psicólogos ,"""repaso."""
Modo ,"""da de alguien que tiene  muy buenas o muy malas noticias, probablemente sabe cómo  se siente antes que le cuente lo sucedido."""
Distancia ,"""espacio personal."""
Largo ,"""do “mito  de nacimiento” más aceptado), la psicología ha elegido el ca- mino de las ciencias naturales."""
Psicología ,"""das clásicamente como “ciencias del espíritu”."""
Capaces ,"""dos  universos paralelos, la materia oscura y la energía oscura, las  grandes incógnitas de la física del siglo xxi, la libertad y el  determinismo."""
Análisis tual ,"""dos con- ductismos de tercera generación son relevantes en la sec."""
Conclusiones ,"""teoría  de la atribución, ésta aborda la cuestión de cómo los seres hu- manos elaboramos juicios acerca de las causas de la conducta."""
Poeta nicaragüense rubén darío ,"""da angustia existencial, en su poema “Lo fatal”:."""
Frankl ,"""justamente, Re- PS1COLOGÍA 1 | flexiones de un psicólogo en un campo de concentración)."""
Albert camus ,"""do existencialismo nihilista, interpretó,  para decirlo con palabras de un tango, que la vida era una heri- da absurda."""
Sentido ,"""ignorancia” (Camus)."""
Producto de consumo ,"""tivo o al contemplar el ocaso."""
Relación psicología biología ,"""das transformacionistas."""
Referencia adoptada ,"""ba r  es extensa o cosa que o culpa lugar en el espacio)."""
Forma de interacción visual ,"""das torres  panópticas, pues el individuo que vigila tras sus ventanas ahuma- das entra fácilmente en contacto visual con los internos, al tiem- po que estos nunca saben si los están observando o no."""
Relación psicología ciencias ,"""das Ciencias de la Administración representan una  rama de las Ciencias Económicas, donde se estudian aspectos  contables, impositivos y gerenciales propios de los más variados  tipos de empresas."""
Parte ,"""da Recursos Humanos, es alta- mente interdisciplinaria, pues allí confluyen aportes de la psico- logía social, la psicología organizacional y la psicología laboral."""
Primer momento comienzos del siglo xx ,"""rles la  atención en caso de incumplimiento."""
Parte ,"""tivo poder de convocato- ria que posee la religión, más aun teniendo en cuenta la discipli- na y renunciamientos que suele exigir a sus seguidores."""
Importante ,"""tiva, y todavía poco comprendida, inclinación  de la mente anormal hacia temáticas religiosas, frecuentemente  acompañada de creencias megalomaníacas (literalmente del grie- go:."""
Procedimientos para ,"""da Ley  de Yerkes-Dodson) incluido al deportista que en cada competición  se ve expuesto a la misma."""
Condiciones ,"""mos al transcurso de estos hechos prácticas sociales."""
Miento del conductismo ,"""do ""introspección"", en el que se les pedía a las personas  que describieran qué era lo que estaban pensando."""
Jung ,"""das arquetipos, los cuáles hacen referencia a imágenes  primordiales evolucionadas de una ascendencia tribal pri- mitivas de experiencias y actitudes milenarias."""
Lenguaje ,"""do en tres aspectos centrales:."""
Ejemplo de disciplinas ,"""que argu- menten en el vacío, pues utilizan evidencias documentales  para defender sus puntos de vista o teorías."""
Vida ,"""do”."""
Término mente ,"""lo mismo."""
Deducciones ,"""experiencia)."""
Ejemplo de disciplinas ,"""que argu- menten en el vacío, pues utilizan evidencias documentales  para defender sus puntos de vista o teorías."""
Hecho ,"""que, de hecho,  se encuentran siempre separadas."""
Psicología analítica jung ,"""do."""
Individuo ,"""tivas."""
Sustancial ,"""do para el individuo."""
Manera ,"""do o en indagar más profundamente."""
Ejemplo ,"""por ejemplo, saber si la máquina, ordenador, siste- ma (físico, químico o social) o el jilaqata/mallku son mode- los apropiados para comprender las dimensiones reflexivas, afectivas y sociales del sujeto, de su subjetividad y conducta."""
Griego ,"""“árbol”, son  prolongaciones del cuerpo celular, se dividen como las ra- mas de un árbol y actúan como receptores de las señales  procedentes de otras neuronas."""
Bro ,"""tivas de carácter,  todo ello de manera inconsciente."""
Dad ,"""tivas de un estímu- lo ayuda a identificarlo y compararlo con otros estímulos."""
Imagen ,"""dos."""
Lenguaje ,"""do en tres aspectos centrales:."""
Psicología del lenguaje ,"""do de la palabra."""
Tono de voz expresión facial ,"""do literal de las palabras es muy claro, pero  seguramente usted sabe bien lo que expresan no es interés por  lo agradable de su lectura."""
Psicología ,"""que otras disci- plinas no estudien también el comportamiento."""
Mundo ,"""ción histórica."""
Autenticidad ,"""do o la dirección de su vida y sólo la busca en sí mismo."""
Contrario ,"""ce- rrado, críptico y oscuro), sumergirá a la persona en el mundo de lo  impersonal, de la moda, de la conformidad al punto de vista de la  sociedad."""
Vida ,"""do”."""
Pese ,"""la búsqueda del placer sin otros  miramientos), sino un compromiso con la existencia en ocasio- nes de características temerarias, como cuando se incorpora a la  resistencia francesa en su lucha contra la ocupación nazi."""
Aristóteles ,"""“diafragma dividido”,  etc."""
Samientos ,"""dos e interpretaciones que  se otorgan a las cosas, lo cual implica que la referencia adoptada es  la mente (o rescogitans, cosa que piensa), que representa otro nivel de  análisis o plano de interpretación."""
Filósofo ludwig wittgenstein ,"""do de dicho pensa- miento."""
Fenómenos mediáticos ,"""que la mente utiliza  para emitir opiniones lo que tiene más a mano:."""
Validez objetiva ,"""“inteligencia”, en el sentido de presencia de  un Gran Arquitecto como telón de fondo de la creación, tal cómo  nos es dable experimentarla."""
Trastornos psiquiátricos ,"""que un individuo  religioso lleve potencialmente un sesgo psicopatológico."""
Término mente ,"""lo mismo."""
Aristóteles ,"""“diafragma dividido”,  etc."""
Validez objetiva ,"""“inteligencia”, en el sentido de presencia de  un Gran Arquitecto como telón de fondo de la creación, tal cómo  nos es dable experimentarla."""
Deducciones ,"""experiencia)."""
Fenómenos mediáticos ,"""que la mente utiliza  para emitir opiniones lo que tiene más a mano:."""
Lenguaje ,"""do en tres aspectos centrales:."""
Individuo ,"""tivas."""
Lenguaje ,"""do en tres aspectos centrales:."""
Fragmentación ,"""lo que es la psicología, qué metodología(s) utilizar para estudiarla y cómo evaluar los hallazgos de este campo de conocimiento."""
Condiciones ,"""a los hechos económicos, sociales, políticos y cultu- rales que acontecen en un momento determinado y llama- mos al transcurso de estos hechos prácticas sociales."""
Exposición ,"""las disciplinas de orientación humanísticas, que son otra cosa)."""
Tes ,"""las actividades cir- culatorias, motores, cerebrales, sensoriales, a la manera de PS1COLOGÍA 1 | una psicofisiología."""
Percepción ,"""los obje- tos."""
Condiciones ,"""a los hechos económicos, sociales, políticos y cultu- rales que acontecen en un momento determinado y llama- mos al transcurso de estos hechos prácticas sociales."""
Teorías ,"""a procesos o cosas que son inobser- vables y por ello sólo se supone su existencia, y 4) cuando estos términos teóricos y las leyes o regularidades se relacio- nan entre sí constituyendo un conjunto coherente que puede explicar las regularidades y predecir su ocurrencia."""
Localización ,"""a sitios situados en diversos ló- bulos, o regiones, del cerebro."""
Presión sistema nervioso somático ,"""la parte del sis- tema nervioso que controla las actividades voluntarias."""
Fragmentación ,"""lo que es la psicología, qué metodología(s) utilizar para estudiarla y cómo evaluar los hallazgos de este campo de conocimiento."""
Hallazgos ,"""a la psicología social, la psicometría, la psicobiología."""
Palabras ,"""como “esquemas cognitivos” Así, por ejemplo, si una mujer viste una bata blanca de laboratorio y lleva un estetoscopio alrededor del cuello, podemos cate- gorizarla razonablemente como una doctora en medicina."""
Primero ,"""que la organización del grupo es rígida y jerárquica."""
Componente cognitivo ,"""al conjunto de información que las personas tienen acerca  del objeto, evento o personas de su actitud."""
Segundo factor ,"""utilizar uno o dos aspectos del argumento o el uso del miedo o amenaza."""
Medios ,"""a la modalidad en que propor- ciona el mensaje."""
Conformidad ,"""la conducta manifiesta por la presión social de forma directa o indirecta, esto se observa en la vida social que se regula por reglas o normas sociales, las cuales se deben acatar, si no se adoptan, las personas son objeto de desaprobación por parte de los demás miembros."""
Obediencia ,"""la conducta manifestada en respuesta a una orden proporcionada por una persona con posición de autoridad."""
Concepciones distintas ,"""las concepciones distintas de ambos autores, la ciencia moderna tomó partido por la de Darwin, al no haberse demostrado que los caracteres adquiridos se hereden."""
Teorías ,"""a procesos o cosas que son inobser- vables y por ello sólo se supone su existencia, y 4) cuando estos términos teóricos y las leyes o regularidades se relacio- nan entre sí constituyendo un conjunto coherente que puede explicar las regularidades y predecir su ocurrencia."""
Hallazgos ,"""a la psicología social, la psicometría, la psicobiología."""
Tes ,"""las actividades cir- culatorias, motores, cerebrales, sensoriales, a la manera de PS1COLOGÍA 1 | una psicofisiología."""
Localización ,"""a sitios situados en diversos ló- bulos, o regiones, del cerebro."""
Matemáticas ,"""lenguaje, es de- cir, un modo de expresar relaciones entre los eventos, del mismo  modo que el lenguaje hablado también es una forma de expresar  relaciones entre eventos materiales o inmateriales."""
Tesis ,"""extensión del mismo, y que su fuerza persuasiva depende justamente de esta característica."""
Ideas innatas constitutivas miento humano ,"""facultad psicológica y permiten al hombre alcanzar la verdad."""
Neurotransmisores ,"""especie de vál- vula de un sistema hidráulico que permite el flujo en una sola dirección."""
Emociones ,"""iversales?"""
Gran mayoría ,"""masa despreciable de seres que trabajan por su sustento y necesitan de un trato riguroso para funcionar”."""
Matemáticas ,"""lenguaje, es de- cir, un modo de expresar relaciones entre los eventos, del mismo  modo que el lenguaje hablado también es una forma de expresar  relaciones entre eventos materiales o inmateriales."""
Matemáticas ,"""lenguaje, es de- cir, un modo de expresar relaciones entre los eventos, del mismo  modo que el lenguaje hablado también es una forma de expresar  relaciones entre eventos materiales o inmateriales."""
Matemáticas ,"""lenguaje, es de- cir, un modo de expresar relaciones entre los eventos, del mismo  modo que el lenguaje hablado también es una forma de expresar  relaciones entre eventos materiales o inmateriales."""
Tipo de deducción ,"""pensamiento hipotético deductivo."""
Situación descrita ,"""la  segunda revolución industrial que se caracterizó por el uso  de nuevas fuentes de energía:."""
Freud ,"""herramienta poderosa  para ayudar al paciente a resolver las fuentes de su ansie- dad."""
Dores ,"""la postura universalis- ta."""
Pregunta ,"""“dilema cartesia- no”."""
Partir ,"""siguientes:."""
Dicho ,"""siguientes:."""
Objeto de estudio ,"""característi- cas del comportamiento del humano, pero vamos a dedicar   PS1COLOGÍA 1  |   especial interés a su base material, al sustento biológico so- bre la que se asienta dicha conducta:."""
Actividades sugeridas ,"""siguientes:."""
Sugerencias de actividades de aprendizaje ,"""siguientes:."""
Dicho ,"""siguientes:."""
Conductas ,"""conductas no verbales que se muestran en  una relación de noviazgo/amistad?"""
Psicología ,"""empíricas o fácticas     |  PS1COLOGÍA 1 (del latín factum, hecho) pues dependen de los hechos reales,  los que pueden ser históricos (como en las ciencias huma- nísticas), sociológicos (como en las sociales) o físicos (como  en las naturales), pero en cualquier caso las deducciones de- ben tratar de interpretar los fenómenos ocurridos antes que  adecuarse a la mera formalidad."""
Características generales ,"""características  generales de estos trabajos vamos a revisar los rasgos prin- cipales que constituyen a una teoría para saber a qué nos  referimos cuando hablamos de teorías psicológicas."""
Teoría de piaget ,"""es- tructuras mentales que guían la adaptación inteligente del  niño a su ambiente y que configuran el conocimiento in- fantil del mundo."""
Metáfora ,"""estructuras formales o sistemas funcionales."""
Consciencia ,"""propieda- des físicas del sistema nervioso, si sufriéramos un accidente  automovilístico que nos lesionara el cerebro:."""
Cuerpo ,"""fibras nerviosas."""
Relevadores ,"""sinapsis, espacios que se encuentran  entre las células nerviosas."""
Áreas de asociación ,"""que sintetizan la información."""
Células ,"""que convierten  la energía luminosa en impulsos químicos y eléctricos, los  cuales atraviesan el nervio óptico en dirección al cerebro."""
Símbolos ,"""palabras:."""
Emociones primarias ,"""que  son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida  y son evidentes en los primates no humanos."""
Emociones secundarias ,"""que no se encuentran en todas las cul- turas y pueden considerarse como combinaciones sutiles de  las emociones primarias."""
Estructuralismo funcionalismo gestalt psicoanálisis topología reflexología conductismo logía existencial ,"""escuelas psicológicas clásicas y po- demos considerarlas similares a los paradigmas propuestos  por Kuhn para explicar el desarrollo de otras ciencias."""
Ventajas ,"""siguientes:."""
Eventos ,"""interacciones del organis- mo con los objetos y eventos que constituyen los factores  de estímulo del ambiente."""
Adolescentes ,"""más influyentes en sus actitudes."""
Partir ,"""siguientes:."""
Dicho ,"""siguientes:."""
Objeto de estudio ,"""característi- cas del comportamiento del humano, pero vamos a dedicar   PS1COLOGÍA 1  |   especial interés a su base material, al sustento biológico so- bre la que se asienta dicha conducta:."""
Actividades sugeridas ,"""siguientes:."""
Sugerencias de actividades de aprendizaje ,"""siguientes:."""
Dicho ,"""siguientes:."""
Conductas ,"""conductas no verbales que se muestran en  una relación de noviazgo/amistad?"""
Psicología ,"""empíricas o fácticas     |  PS1COLOGÍA 1 (del latín factum, hecho) pues dependen de los hechos reales,  los que pueden ser históricos (como en las ciencias huma- nísticas), sociológicos (como en las sociales) o físicos (como  en las naturales), pero en cualquier caso las deducciones de- ben tratar de interpretar los fenómenos ocurridos antes que  adecuarse a la mera formalidad."""
Características generales ,"""características  generales de estos trabajos vamos a revisar los rasgos prin- cipales que constituyen a una teoría para saber a qué nos  referimos cuando hablamos de teorías psicológicas."""
Teoría de piaget ,"""es- tructuras mentales que guían la adaptación inteligente del  niño a su ambiente y que configuran el conocimiento in- fantil del mundo."""
Metáfora ,"""estructuras formales o sistemas funcionales."""
Consciencia ,"""propieda- des físicas del sistema nervioso, si sufriéramos un accidente  automovilístico que nos lesionara el cerebro:."""
Cuerpo ,"""fibras nerviosas."""
Relevadores ,"""sinapsis, espacios que se encuentran  entre las células nerviosas."""
Áreas de asociación ,"""que sintetizan la información."""
Células ,"""que convierten  la energía luminosa en impulsos químicos y eléctricos, los  cuales atraviesan el nervio óptico en dirección al cerebro."""
Símbolos ,"""palabras:."""
Emociones primarias ,"""que  son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida  y son evidentes en los primates no humanos."""
Emociones secundarias ,"""que no se encuentran en todas las cul- turas y pueden considerarse como combinaciones sutiles de  las emociones primarias."""
Estructuralismo funcionalismo gestalt psicoanálisis topología reflexología conductismo logía existencial ,"""escuelas psicológicas clásicas y po- demos considerarlas similares a los paradigmas propuestos  por Kuhn para explicar el desarrollo de otras ciencias."""
Ventajas ,"""siguientes:."""
Eventos ,"""interacciones del organis- mo con los objetos y eventos que constituyen los factores  de estímulo del ambiente."""
Adolescentes ,"""más influyentes en sus actitudes."""
Emociones primarias ,"""que  son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida  y son evidentes en los primates no humanos."""
Segundo término ,"""indica que el líder es elegi- do por los integrantes del grupo y toma en consideración las opiniones para tomar decisiones."""
Término mente ,"""mente es de empleo  posterior al de alma y no significa lo mismo."""
Aristóteles ,"""griego que se traduce  por diafragma y que se interpreta erróneamente por mente (como  en esquizofrenia, que en realidad significa “diafragma dividido”,  etc."""
Validez objetiva ,"""griego que significa “inteligencia”, en el sentido de presencia de  un Gran Arquitecto como telón de fondo de la creación, tal cómo  nos es dable experimentarla."""
Teorías ,"""teóricos y las leyes o regularidades se relacio- nan entre sí constituyendo un conjunto coherente que puede explicar las regularidades y predecir su ocurrencia."""
Hallazgos ,"""de alguna “escue- la” psicológica o de una metodología específica, pero muchos otros fueron más generales, por ejemplo, los que se refieren a la psicología social, la psicometría, la psicobiología."""
Término ,"""de esta actividad, se revisarán en plenaria los  trabajos, haciendo énfasis en la relación de estas bases bio- lógicas con el comportamiento."""
Sinopsis ,"""per- cepción y sensación, parte de entenderlos como procesos psicológicos básicos."""
